id,question_id,answer,domain
1,1,"Ensure that senior leaders and executives model ethical behavior and prioritize employee well-being.","Prioritize Ethical Leadership"
2,1,"Develop a strong ethical leadership culture that values employees as integral to the organization's success.","Prioritize Ethical Leadership"
3,1,"Define and communicate a set of ethical values that include a commitment to employee well-being and safety.","Establish Clear Ethical Values"
4,1,"Embed these values in the organization's mission and vision statements.","Establish Clear Ethical Values"
5,1,"Allocate resources to support employee well-being programs, such as mental health initiatives, wellness programs, and ergonomic workplace designs.","Invest in Employee Well-Being"
6,1,"Consider offering flexible work arrangements to promote work-life balance.","Invest in Employee Well-Being"
7,1,"Encourage open and honest communication between employees and management.","Foster Open Communication"
8,1,"Create channels for employees to voice concerns or suggestions related to their well-being.","Foster Open Communication"
9,1,"Recognize that long-term profitability is often linked to employee well-being. A satisfied and engaged workforce can boost productivity, innovation, and customer satisfaction.","Balance Profit and Well-Being"
10,1,"Avoid short-term thinking that sacrifices well-being for immediate financial gains.","Balance Profit and Well-Being"
11,2,"Develop and communicate a clear commitment to environmental sustainability, embedding it in the company's mission and values.","Sustainability Commitment"
12,2,"Prior to making decisions, conduct comprehensive environmental impact assessments (EIAs) to identify potential harm and explore alternative options.","Environmental Impact Assessment"
13,2,"Ensure full compliance with local, national, and international environmental laws and regulations.","Regulatory Compliance"
14,2,"Stay informed about evolving environmental legislation and make necessary adjustments.","Regulatory Compliance"
15,2,"Collaborate with suppliers who demonstrate a commitment to sustainable practices and ethical sourcing.","Sustainable Sourcing and Supply Chain"
16,2,"Assess the environmental impact of products and materials used in production and seek alternatives that are more eco-friendly.","Sustainable Sourcing and Supply Chain"
15,2,"Implement resource-efficient practices to reduce waste, energy consumption, and water usage in operations.","Resource Efficiency"
16,2,"Invest in energy-efficient technologies and renewable energy sources.","Resource Efficiency"
17,2,"Develop products and services with a focus on environmental sustainability, considering their entire lifecycle, from production to disposal.","Green Product Design"
18,2,"Invest in carbon offset programs and initiatives to mitigate the organization's carbon footprint.","Carbon Offsetting and Mitigation"
19,2,"Support reforestation, renewable energy projects, or other environmentally beneficial activities.","Carbon Offsetting and Mitigation"
20,2,"Ensure that marketing materials accurately represent the organization's commitment to environmental sustainability.","Ethical Marketing and Communication"
21,3,"Make ethical marketing principles a cornerstone of your company's culture and values.","Embrace Ethical Marketing Principles"
